# BCCWJ 短単位語彙表 ver1.0 (NINJAL, doi:10.15084/00003218) — palavras de conteúdo por lema UniDic,
# ordenadas pelo registro coloquial: Yahoo!知恵袋 (OC) + Yahoo!ブログ (OY), pmw somado.
# rank	lemma	lForm	pos	coloquial_pmw	geral_pmw
7839	撤去	テッキョ	名詞-普通名詞-サ変可能	10.433	5.143
7840	無論	ムロン	副詞	10.432	20.915
7841	努める	ツトメル	動詞-一般	10.430	45.645
7842	単品	タンピン	名詞-普通名詞-一般	10.430	2.093
7843	退く	シリゾク	動詞-一般	10.428	9.511
7844	シミュレーション	シミュレーション	名詞-普通名詞-サ変可能	10.428	6.806
7845	ざっ	ザッ	副詞	10.428	5.525
7846	残酷	ザンコク	名詞-普通名詞-形状詞可能	10.426	7.571
7847	リサーチ	リサーチ	名詞-普通名詞-サ変可能	10.426	4.369
7848	ランダム	ランダム	名詞-普通名詞-形状詞可能	10.426	3.728
7849	ラグ	ラグ	名詞-普通名詞-一般	10.426	3.269
7850	込み	コミ	名詞-普通名詞-一般	10.425	2.581
7851	引き締める	ヒキシメル	動詞-一般	10.424	5.755
7852	隣接	リンセツ	名詞-普通名詞-サ変可能	10.423	11.127
7853	懐	フトコロ	名詞-普通名詞-一般	10.422	9.320
7854	ＤＪ	ディージェー	名詞-普通名詞-一般	10.421	2.743
7855	友好	ユウコウ	名詞-普通名詞-一般	10.419	9.473
7856	ビジュアル	ビジュアル	名詞-普通名詞-形状詞可能	10.419	3.843
7857	醜い	ミニクイ	形容詞-一般	10.418	6.118
7858	被告	ヒコク	名詞-普通名詞-一般	10.416	21.193
7859	指先	ユビサキ	名詞-普通名詞-一般	10.416	12.341
7860	噛み付く	カミツク	動詞-一般	10.416	4.502
7861	親方	オヤカタ	名詞-普通名詞-一般	10.415	6.519
7862	ぱんぱん	パンパン	形状詞-一般	10.414	1.482
7863	自称	ジショウ	名詞-普通名詞-サ変可能	10.411	3.671
7864	間食	カンショク	名詞-普通名詞-サ変可能	10.411	2.160
7865	漉す	コス	動詞-一般	10.409	4.627
7866	アド	アド	名詞-普通名詞-一般	10.407	1.740
7867	きっぱり	キッパリ	副詞	10.406	7.523
7868	習得	シュウトク	名詞-普通名詞-サ変可能	10.401	10.429
7869	コスメ	コスメ	名詞-普通名詞-一般	10.401	2.657
7870	張り	ハリ	名詞-普通名詞-助数詞可能	10.397	5.038
7871	待遇	タイグウ	名詞-普通名詞-サ変可能	10.396	6.529
7872	プロポーズ	プロポーズ	名詞-普通名詞-サ変可能	10.393	2.696
7873	里帰り	サトガエリ	名詞-普通名詞-一般	10.390	2.227
7874	賢明	ケンメイ	名詞-普通名詞-形状詞可能	10.382	5.430
7875	寒天	カンテン	名詞-普通名詞-一般	10.382	3.174
7876	両替	リョウガエ	名詞-普通名詞-サ変可能	10.375	3.508
7877	中団	チュウダン	名詞-普通名詞-一般	10.370	1.071
7878	隼	ハヤブサ	名詞-普通名詞-一般	10.365	2.218
7879	申年	サルドシ	名詞-普通名詞-一般	10.365	1.434
7880	鶯	ウグイス	名詞-普通名詞-一般	10.362	3.260
7881	カンパニー	カンパニー	名詞-普通名詞-一般	10.360	5.363
7882	卵巣	ランソウ	名詞-普通名詞-一般	10.358	4.617
7883	夜明け	ヨアケ	名詞-普通名詞-一般	10.358	7.523
7884	同日	ドウジツ	名詞-普通名詞-副詞可能	10.358	6.873
7885	来季	ライキ	名詞-普通名詞-一般	10.356	1.606
7886	引き分け	ヒキワケ	名詞-普通名詞-一般	10.355	1.835
7887	地蔵	ジゾウ	名詞-普通名詞-一般	10.351	6.204
7888	牡丹	ボタン	名詞-普通名詞-一般	10.351	5.085
7889	背後	ハイゴ	名詞-普通名詞-一般	10.349	27.769
7890	テースト	テースト	名詞-普通名詞-一般	10.346	4.952
7891	魚介	ギョカイ	名詞-普通名詞-一般	10.345	6.347
7892	水菜	ミズナ	名詞-普通名詞-一般	10.344	1.711
7893	ノウハウ	ノウハウ	名詞-普通名詞-一般	10.343	8.813
7894	擬装	ギソウ	名詞-普通名詞-サ変可能	10.341	4.330
7895	サーブ	サーブ	名詞-普通名詞-サ変可能	10.338	3.279
7896	零れる	コボレル	動詞-一般	10.336	6.806
7897	直撃	チョクゲキ	名詞-普通名詞-サ変可能	10.336	4.130
7898	発注	ハッチュウ	名詞-普通名詞-サ変可能	10.335	10.257
7899	王者	オウジャ	名詞-普通名詞-一般	10.333	4.235
7900	乙	オツ	名詞-普通名詞-一般	10.330	6.844
7901	生まれ変わる	ウマレカワル	動詞-一般	10.328	5.468
7902	かん	カン	副詞	10.328	1.606
7903	年々	ネンネン	名詞-普通名詞-副詞可能	10.326	11.261
7904	捕らわれる	トラワレル	動詞-一般	10.325	11.949
7905	甲	コウ	名詞-普通名詞-一般	10.325	9.836
7906	ポンス	ポンス	名詞-普通名詞-一般	10.325	1.711
7907	旅客	リョカク	名詞-普通名詞-一般	10.324	10.945
7908	ＤＮＡ	ディーエヌエー	名詞-普通名詞-一般	10.321	13.077
7909	占領	センリョウ	名詞-普通名詞-サ変可能	10.320	18.420
7910	進入	シンニュウ	名詞-普通名詞-サ変可能	10.320	4.254
7911	健全	ケンゼン	形状詞-一般	10.317	24.012
7912	切り取る	キリトル	動詞-一般	10.317	7.810
7913	フォン	フォン	名詞-普通名詞-一般	10.315	5.669
7914	単価	タンカ	名詞-普通名詞-一般	10.315	7.313
7915	笹身	ササミ	名詞-普通名詞-一般	10.315	1.921
7916	白色	ハクショク	名詞-普通名詞-一般	10.310	5.621
7917	補修	ホシュウ	名詞-普通名詞-サ変可能	10.309	5.133
7918	敬遠	ケイエン	名詞-普通名詞-サ変可能	10.309	3.642
7919	でこ	デコ	名詞-普通名詞-一般	10.309	2.246
7920	出世	シュッセ	名詞-普通名詞-サ変可能	10.308	9.702
7921	碌に	ロクニ	副詞	10.304	4.627
7922	思い遣る	オモイヤル	動詞-一般	10.304	3.642
7923	手書き	テガキ	名詞-普通名詞-サ変可能	10.301	3.575
7924	ＲＰＧ	アールピージー	名詞-普通名詞-一般	10.299	1.377
7925	冷ます	サマス	動詞-一般	10.297	5.659
7926	不尽	フジン	名詞-普通名詞-一般	10.297	4.043
7927	セットアップ	セットアップ	名詞-普通名詞-サ変可能	10.294	2.418
7928	決め付ける	キメツケル	動詞-一般	10.293	5.974
7929	何色	ナニイロ	名詞-普通名詞-一般	10.290	1.625
7930	失調	シッチョウ	名詞-普通名詞-一般	10.286	4.139
7931	アミノ	アミノ	名詞-普通名詞-一般	10.284	8.030
7932	続落	ゾクラク	名詞-普通名詞-サ変可能	10.271	1.319
7933	印紙	インシ	名詞-普通名詞-一般	10.267	3.432
7934	庁舎	チョウシャ	名詞-普通名詞-一般	10.266	12.905
7935	ルビー	ルビー	名詞-普通名詞-一般	10.261	1.702
7936	フロッピー	フロッピー	名詞-普通名詞-一般	10.261	3.709
7937	会談	カイダン	名詞-普通名詞-サ変可能	10.260	15.209
7938	後ろ姿	ウシロスガタ	名詞-普通名詞-一般	10.256	6.299
7939	蜜	ミツ	名詞-普通名詞-一般	10.254	5.171
7940	女将	オカミ	名詞-普通名詞-一般	10.253	9.789
7941	綴る	ツヅル	動詞-一般	10.253	6.586
7942	真っ当	マットウ	形状詞-一般	10.253	2.753
7943	花壇	カダン	名詞-普通名詞-一般	10.251	4.512
7944	一先ず	ヒトマズ	副詞	10.250	4.770
7945	稲荷	イナリ	名詞-普通名詞-一般	10.245	3.938
7946	法案	ホウアン	名詞-普通名詞-一般	10.243	24.720
7947	トレーン	トレーン	名詞-普通名詞-一般	10.243	1.940
7948	リフト	リフト	名詞-普通名詞-一般	10.242	4.120
7949	アーム	アーム	名詞-普通名詞-一般	10.237	3.594
7950	プランター	プランター	名詞-普通名詞-一般	10.237	2.074
7951	否む	イナム	動詞-一般	10.236	4.043
7952	大笑い	オオワライ	名詞-普通名詞-サ変可能	10.236	3.460
7953	バーベキュー	バーベキュー	名詞-普通名詞-サ変可能	10.236	3.088
7954	クロス	クロス	名詞-普通名詞-サ変可能	10.235	6.624
7955	中級	チュウキュウ	名詞-普通名詞-一般	10.234	3.728
7956	型式	ケイシキ	名詞-普通名詞-一般	10.233	4.235
7957	沿線	エンセン	名詞-普通名詞-一般	10.233	3.843
7958	ノア	ノア	名詞-普通名詞-一般	10.233	1.243
7959	一貫	イッカン	名詞-普通名詞-サ変可能	10.231	18.554
7960	カラフル	カラフル	形状詞-一般	10.230	3.785
7961	水色	ミズイロ	名詞-普通名詞-一般	10.230	3.585
7962	到底	トウテイ	副詞	10.225	11.614
7963	ぴかぴか	ピカピカ	副詞	10.224	3.891
7964	ボクシング	ボクシング	名詞-普通名詞-一般	10.224	3.671
7965	ラッピング	ラッピング	名詞-普通名詞-サ変可能	10.224	1.826
7966	サントラ	サントラ	名詞-普通名詞-一般	10.224	1.310
7967	卓球	タッキュウ	名詞-普通名詞-一般	10.221	3.852
7968	図面	ズメン	名詞-普通名詞-一般	10.220	7.332
7969	ごちゃごちゃ	ゴチャゴチャ	副詞	10.219	2.973
7970	景品	ケイヒン	名詞-普通名詞-一般	10.218	3.642
7971	ばらす	バラス	動詞-一般	10.218	2.438
7972	縁起	エンギ	名詞-普通名詞-一般	10.217	5.535
7973	別人	ベツジン	名詞-普通名詞-一般	10.213	4.407
7974	曙	アケボノ	名詞-普通名詞-一般	10.213	3.040
7975	私服	シフク	名詞-普通名詞-一般	10.212	2.533
7976	除外	ジョガイ	名詞-普通名詞-サ変可能	10.210	9.913
7977	人差し	ヒトサシ	名詞-普通名詞-一般	10.206	8.488
7978	パット	パット	名詞-普通名詞-サ変可能	10.205	3.518
7979	呼び名	ヨビナ	名詞-普通名詞-一般	10.201	4.455
7980	加算	カサン	名詞-普通名詞-サ変可能	10.198	10.754
7981	割高	ワリダカ	形状詞-一般	10.197	2.648
7982	小銭	コゼニ	名詞-普通名詞-一般	10.194	2.485
7983	差し引く	サシヒク	動詞-一般	10.189	6.663
7984	買い替え	カイカエ	名詞-普通名詞-一般	10.188	2.543
7985	腫れ	ハレ	名詞-普通名詞-一般	10.187	1.988
7986	口紅	クチベニ	名詞-普通名詞-一般	10.186	3.566
7987	在宅	ザイタク	名詞-普通名詞-サ変可能	10.184	16.719
7988	型番	カタバン	名詞-普通名詞-一般	10.182	1.176
7989	本堂	ホンドウ	名詞-普通名詞-一般	10.168	5.334
7990	一段	イチダン	名詞-普通名詞-副詞可能	10.161	9.884
7991	堂	ドウ	名詞-普通名詞-一般	10.161	5.095
7992	ポジティブ	ポジティブ	名詞-普通名詞-形状詞可能	10.159	4.216
7993	パトロール	パトロール	名詞-普通名詞-サ変可能	10.157	6.003
7994	打数	ダスウ	名詞-普通名詞-一般	10.154	1.702
7995	旧暦	キュウレキ	名詞-普通名詞-一般	10.153	2.399
7996	民家	ミンカ	名詞-普通名詞-一般	10.152	6.548
7997	優雅	ユウガ	名詞-普通名詞-形状詞可能	10.151	7.848
7998	童話	ドウワ	名詞-普通名詞-一般	10.151	4.904
7999	幸	サチ	名詞-普通名詞-一般	10.151	6.233
8000	アトム	アトム	名詞-普通名詞-一般	10.150	1.960
8001	ブラン	ブラン	名詞-普通名詞-一般	10.148	3.317
8002	カジノ	カジノ	名詞-普通名詞-一般	10.148	2.753
8003	辛口	カラクチ	名詞-普通名詞-一般	10.147	2.304
8004	レインボー	レインボー	名詞-普通名詞-一般	10.146	2.132
8005	武装	ブソウ	名詞-普通名詞-サ変可能	10.142	12.494
8006	生き生き	イキイキ	副詞	10.141	13.870
8007	リタイア	リタイア	名詞-普通名詞-サ変可能	10.141	2.772
8008	イースト	イースト	名詞-普通名詞-一般	10.139	3.833
8009	スノー	スノー	名詞-普通名詞-一般	10.139	2.638
8010	バラード	バラード	名詞-普通名詞-一般	10.139	1.835
8011	鰯	イワシ	名詞-普通名詞-一般	10.138	5.802
8012	落書き	ラクガキ	名詞-普通名詞-サ変可能	10.137	3.374
8013	映す	ウツス	動詞-一般	10.135	5.258
8014	冬休み	フユヤスミ	名詞-普通名詞-一般	10.135	2.093
8015	中期	チュウキ	名詞-普通名詞-副詞可能	10.133	14.214
8016	立体	リッタイ	名詞-普通名詞-一般	10.132	10.238
8017	落ち着き	オチツキ	名詞-普通名詞-一般	10.132	7.227
8018	オールド	オールド	名詞-普通名詞-一般	10.132	4.627
8019	蓄積	チクセキ	名詞-普通名詞-サ変可能	10.129	17.598
8020	揚げ物	アゲモノ	名詞-普通名詞-一般	10.129	2.266
8021	徹夜	テツヤ	名詞-普通名詞-サ変可能	10.128	3.518
8022	競う	キソウ	動詞-一般	10.125	7.131
8023	金髪	キンパツ	名詞-普通名詞-一般	10.125	4.674
8024	新入	シンニュウ	名詞-普通名詞-一般	10.125	4.302
8025	及ぼす	オヨボス	動詞-一般	10.124	26.641
8026	パーキング	パーキング	名詞-普通名詞-一般	10.124	2.304
8027	浄化	ジョウカ	名詞-普通名詞-サ変可能	10.122	15.486
8028	バイオ	バイオ	名詞-普通名詞-一般	10.121	6.452
8029	損傷	ソンショウ	名詞-普通名詞-サ変可能	10.116	11.175
8030	カッター	カッター	名詞-普通名詞-一般	10.111	3.757
8031	整体	セイタイ	名詞-普通名詞-一般	10.111	1.663
8032	見当	ケントウ	名詞-普通名詞-一般	10.107	11.270
8033	人身	ジンシン	名詞-普通名詞-一般	10.100	3.871
8034	判別	ハンベツ	名詞-普通名詞-サ変可能	10.099	4.177
8035	リール	リール	名詞-普通名詞-一般	10.092	2.466
8036	排泄	ハイセツ	名詞-普通名詞-サ変可能	10.084	8.259
8037	婚	コン	名詞-普通名詞-一般	10.082	3.049
8038	ステロイド	ステロイド	名詞-普通名詞-一般	10.080	3.986
8039	調停	チョウテイ	名詞-普通名詞-サ変可能	10.079	14.090
8040	改行	カイギョウ	名詞-普通名詞-サ変可能	10.075	3.097
8041	買い目	カイメ	名詞-普通名詞-一般	10.073	0.975
8042	メラニン	メラニン	名詞-普通名詞-一般	10.060	1.912
8043	持ち帰り	モチカエリ	名詞-普通名詞-一般	10.060	1.434
8044	見渡す	ミワタス	動詞-一般	10.055	10.859
8045	著書	チョショ	名詞-普通名詞-一般	10.054	12.542
8046	ぷう	プウ	副詞	10.053	1.281
8047	会合	カイゴウ	名詞-普通名詞-サ変可能	10.052	15.056
8048	試写	シシャ	名詞-普通名詞-サ変可能	10.050	1.663
8049	シアター	シアター	名詞-普通名詞-一般	10.048	3.757
8050	恋しい	コイシイ	形容詞-一般	10.048	3.623
8051	ファーム	ファーム	名詞-普通名詞-一般	10.048	2.715
8052	分岐	ブンキ	名詞-普通名詞-サ変可能	10.047	6.252
8053	ピアニスト	ピアニスト	名詞-普通名詞-一般	10.047	3.499
8054	幼馴染み	オサナナジミ	名詞-普通名詞-一般	10.047	3.049
8055	貧困	ヒンコン	名詞-普通名詞-形状詞可能	10.046	10.085
8056	戦術	センジュツ	名詞-普通名詞-一般	10.045	8.183
8057	改装	カイソウ	名詞-普通名詞-サ変可能	10.045	3.824
8058	椀子	ワンコ	名詞-普通名詞-一般	10.045	1.109
8059	ぐる	グル	名詞-普通名詞-一般	10.044	4.273
8060	担う	ニナウ	動詞-一般	10.043	26.211
8061	愛しい	イトシイ	形容詞-一般	10.042	4.474
8062	トピック	トピック	名詞-普通名詞-一般	10.042	4.053
8063	目先	メサキ	名詞-普通名詞-一般	10.042	3.202
8064	近況	キンキョウ	名詞-普通名詞-一般	10.038	2.084
8065	気っ風	キップ	名詞-普通名詞-一般	10.036	1.721
8066	基金	キキン	名詞-普通名詞-一般	10.035	22.502
8067	一行	イッコウ	名詞-普通名詞-一般	10.035	14.358
8068	ジョギング	ジョギング	名詞-普通名詞-サ変可能	10.035	3.288
8069	封印	フウイン	名詞-普通名詞-サ変可能	10.034	3.403
8070	芝生	シバフ	名詞-普通名詞-一般	10.033	6.204
8071	ナウ	ナウ	名詞-普通名詞-一般	10.032	2.925
8072	産卵	サンラン	名詞-普通名詞-サ変可能	10.031	5.324
8073	踏み込む	フミコム	動詞-一般	10.029	10.639
8074	能	ノウ	名詞-普通名詞-一般	10.026	19.051
8075	達人	タツジン	名詞-普通名詞-一般	10.025	4.493
8076	莫大	バクダイ	名詞-普通名詞-形状詞可能	10.024	6.605
8077	諺	コトワザ	名詞-普通名詞-一般	10.022	6.558
8078	塗す	マブス	動詞-一般	10.018	4.674
8079	結晶	ケッショウ	名詞-普通名詞-サ変可能	10.015	11.108
8080	反則	ハンソク	名詞-普通名詞-サ変可能	10.014	3.441
8081	率直	ソッチョク	形状詞-一般	10.013	11.500
8082	からかう	カラカウ	動詞-一般	10.013	8.049
8083	沸かす	ワカス	動詞-一般	10.013	4.263
8084	灰汁	アク	名詞-普通名詞-一般	10.012	3.585
8085	断言	ダンゲン	名詞-普通名詞-サ変可能	10.006	7.504
8086	羽織る	ハオル	動詞-一般	10.006	4.235
8087	不当	フトウ	形状詞-一般	9.998	15.648
8088	理系	リケイ	名詞-普通名詞-一般	9.998	1.921
8089	自律	ジリツ	名詞-普通名詞-サ変可能	9.996	10.391
8090	度合い	ドアイ	名詞-普通名詞-一般	9.996	8.871
8091	売春	バイシュン	名詞-普通名詞-サ変可能	9.996	5.793
8092	匿名	トクメイ	名詞-普通名詞-一般	9.990	5.038
8093	小一	ショウイチ	名詞-普通名詞-一般	9.989	1.424
8094	ビルダー	ビルダー	名詞-普通名詞-一般	9.984	2.170
